pais_id;nombre
1;ADEN (YEMEN)
2;AFGANISTAN
3;AFRICA ECUATORIAL FRANCESA
4;AFRICA OCCIDENTAL FRANCESA
5;ALBANIA
6;ALEMANIA
7;ANDORRA
8;ANGOLA
9;ANGUILA (REINO UNIDO)
10;ANTARTIDA
11;ANTIGUA Y BARBUDA
12;ANTILLAS HOLANDESAS
13;ARABIA SAUDITA
14;ARGELIA
15;ARGENTINA
16;ARMENIA
17;ARUBA (PAISES BAJOS)
18;AUSTRALIA
19;AUSTRIA
20;AZERBAIYAN
21;BAHAMAS
22;BAHREIN
23;BANGLADESH
24;BARBADOS
25;BELGICA
26;BELICE
27;BENIN
28;BERMUDAS (REINO UNIDO)
29;BHUTAN
30;BIELORRUSIA
31;BOLIVIA
32;BONAIRE, SAN EUSTAQUIO Y SABA (PAISES BAJOS)
33;BOSNIA Y HERZEGOVINA
34;BOTSWANA
35;BRASIL
36;BRUNEI DARUSSALAM
37;BULGARIA
38;BURKINA FASO
39;BURUNDI
40;CABO VERDE
41;CACHEMIRA
42;CAMBOYA
43;CAMERUN
44;CANADA
45;CHAD
46;CHECOSLOVAQUIA
47;CHEQUIA
48;CHILE
49;CHIPRE
50;CIUDAD DEL VATICANO
51;COLOMBIA
52;COMORAS
53;CONGO
54;COREA DEL NORTE
55;COREA DEL SUR
56;COSTA DE MARFIL
57;COSTA RICA
58;CROACIA
59;CUBA
60;CURAZAO (PAISES BAJOS)
61;DINAMARCA
62;DJIBOUTI
63;DOMINICA
64;ECUADOR
65;EGIPTO
66;EL SALVADOR
67;EMIRATOS ARABES UNIDOS
68;ERITREA
69;ESLOVAQUIA
70;ESLOVENIA
71;ESPANA
72;ESTADO DE PALESTINA
73;ESTADOS UNIDOS DE AMERICA
74;ESTONIA
75;ETIOPIA
76;FIJI
77;FILIPINAS
78;FINLANDIA
79;FRANCIA
80;GABON
81;GAMBIA
82;GEORGIA
83;GEORGIA DEL SUR Y LAS ISLAS SANDWICH DEL SUR (REINO UNIDO)
84;GHANA
85;GIBRALTAR (REINO UNIDO)
86;GRANADA
87;GRECIA
88;GROENLANDIA (DINAMARCA)
89;GUADALUPE (FRANCIA)
90;GUAM (ESTADOS UNIDOS)
91;GUATEMALA
92;GUERNSEY (REINO UNIDO)
93;GUINEA
94;GUINEA ECUATORIAL
95;GUINEA-BISSAU
96;GUYANA
97;GUYANA FRANCESA (FRANCIA)
98;HAITI
99;HONDURAS
100;HONG KONG, REGION ADMINISTRATIVA ESPECIAL, CHINA
101;HUNGRIA
102;INDIA
103;INDIA PORTUGUESA
104;INDONESIA
105;IRAN
106;IRAQ
107;IRLANDA
108;ISLA DE MAN (REINO UNIDO)
109;ISLA DE NAVIDAD (AUSTRALIA)
110;ISLA DE REUNION (FRANCIA)
111;ISLA NORFOLK (AUSTRALIA)
112;ISLANDIA
113;ISLAS ALAND
114;ISLAS ALHUCEMAS (ESPANA)
115;ISLAS ANGLONORMANDAS (REINO UNIDO)
116;ISLAS CAIMAN (REINO UNIDO)
117;ISLAS COCOS (AUSTRALIA)
118;ISLAS COOK (NUEVA ZELANDA)
119;ISLAS FEROE (DINAMARCA)
120;ISLAS HEARD Y MCDONALD (AUSTRALIA)
121;ISLAS LEEWARD
122;ISLAS MALVINAS (REINO UNIDO)
123;ISLAS MARIANAS SEPTENTRIONALES (ESTADOS UNIDOS)
124;ISLAS MARSHALL
125;ISLAS MENORES ALEJADAS DE ESTADOS UNIDOS
126;ISLAS PITCAIRN (REINO UNIDO)
